video_id,comment_id,author,text,like_count,published_at
F37MHn7fMyE,UgydcMFcR7D2yz23_E14AaABAg,@kunho3337,전부 잘 보고있다가 냉장고보고 빵떠졌습니다 ㅋㅋ 아니 냉장고안에 물건들이 너어무 많으신대요.. ㅋㅋ,9,2025-10-11
F37MHn7fMyE,UgyhRsgEbFko6u0ZUvx4AaABAg,@떼껄룩-f9x,"린클 저는 너무 잘 쓰고 있는데 조금 번거로우실순 있으시지만 몇가지만 지키면 정말 편합니다..! 냄새도 안 나서 저는 1인가구라 음식물 양이 적은 점도 있지한 구매한지 2~3년 넘었는데도 필터 한번도 안 갈았습니다.

1. 남은 음식물 싱크대 채반에서 물로 한번 헹궈서 넣기
2. 부피 큰 음식물은(수박 밑동) 칼이나 손으로 좀 조각 나눠서 버리기
3. (당연하지만) 음식물쓰레기에 버리면 안되는 것 넣지말기(뼈, 가시, 흙대파 뿌리, 양파껍데기, 딱딱한 껍데기, 된장, 고추장 등등 일반쓰레기로 버려야 하는 것들)",3,2026-02-11
F37MHn7fMyE,Ugy2KtECNBCFk_ZR4vF4AaABAg,@뽀시-h9d,음처기같은경우는 미생물식 뿐만아니라 건조가열식도 양념같은건 다 물로 헹궈 써야합니다 건조가열식은 그냥쓰면 내솥코팅 금방 다 벗겨져서 떡짐 진짜 음처기는 어떻게 쓰냐의 차이인듯,6,2025-10-05
F37MHn7fMyE,Ugwd5GvevtEK7RMvhT14AaABAg,@Juu_0412,음식물처리기 건조분쇄식도 문제인게 내솥 코팅 벗겨지면 새로사야함ㅎ안바꾸면 음쓰가 떡져서 답도없음 세척 개힘듬 내솥도 6만원씩함 결론 아직 음식물처리기는 기술발전이 더필요...나중에 사자,3,2026-02-08
F37MHn7fMyE,UgxnYorO33Xs6itz2jR4AaABAg,@박뚱땅-c7m,에어컨은 어떤거 사용하시는지 궁금합니다.!!,3,2025-08-20
F37MHn7fMyE,UgzvvlbFvcCdmp8Qdet4AaABAg,@백산수-u1g,ㅜㅜ내일 견적받으러가는데 언제 올려주시나요,6,2025-07-29
F37MHn7fMyE,UgxK9F2ddrDtnqEJ0KZ4AaABAg,@도비둡둡,알림신청합니다아앙,0,2026-01-26
F37MHn7fMyE,UgzqP8x2a3Ai2JbmI2V4AaABAg,@Landload-x9g,알찬 정보인데 마지막 조언을 듣고 언쳐버렸어요. TV를 사지 말라니... 응;;,0,2026-05-15
F37MHn7fMyE,UgyN8fOqivXCvBgeHsF4AaABAg,@유투브-e8w,돈관리는 어떻게 하고 계신지 궁금해요!!,0,2025-10-02
F37MHn7fMyE,UgytQWvDLlcg0J6G1oh4AaABAg,@넹글-x4y,세탁기 모델명 알 수 있을까요??,0,2025-08-20
