video_id,keyword,text,sentiment,topic,topic_label
F37MHn7fMyE,신혼부부 광파오븐,전부 잘 보고있다가 냉장고보고 빵떠졌습니다 ㅋㅋ 아니 냉장고안에 물건들이 너어무 많으신대요.. ㅋㅋ,중립,3,신혼살림/소형가전취향
F37MHn7fMyE,신혼부부 광파오븐,"린클 저는 너무 잘 쓰고 있는데 조금 번거로우실순 있으시지만 몇가지만 지키면 정말 편합니다..! 냄새도 안 나서 저는 1인가구라 음식물 양이 적은 점도 있지한 구매한지 2~3년 넘었는데도 필터 한번도 안 갈았습니다.

1. 남은 음식물 싱크대 채반에서 물로 한번 헹궈서 넣기
2. 부피 큰 음식물은(수박 밑동) 칼이나 손으로 좀 조각 나눠서 버리기
3. (당연하지만) 음식물쓰레기에 버리면 안되는 것 넣지말기(뼈, 가시, 흙대파 뿌리, 양파껍데기, 딱딱한 껍데기, 된장, 고추장 등등 일반쓰레기로 버려야 하는 것들)",부정,4,집밥 레시피/요리재료
F37MHn7fMyE,신혼부부 광파오븐,음처기같은경우는 미생물식 뿐만아니라 건조가열식도 양념같은건 다 물로 헹궈 써야합니다 건조가열식은 그냥쓰면 내솥코팅 금방 다 벗겨져서 떡짐 진짜 음처기는 어떻게 쓰냐의 차이인듯,중립,3,신혼살림/소형가전취향
F37MHn7fMyE,신혼부부 광파오븐,음식물처리기 건조분쇄식도 문제인게 내솥 코팅 벗겨지면 새로사야함ㅎ안바꾸면 음쓰가 떡져서 답도없음 세척 개힘듬 내솥도 6만원씩함 결론 아직 음식물처리기는 기술발전이 더필요...나중에 사자,부정,1,음식물처리기/주방냄새
F37MHn7fMyE,신혼부부 광파오븐,ㅜㅜ내일 견적받으러가는데 언제 올려주시나요,중립,2,혼수가전 구매/이사준비
F37MHn7fMyE,신혼부부 광파오븐,알림신청합니다아앙,중립,6,간단집밥/반찬레시피
F37MHn7fMyE,신혼부부 광파오븐,알찬 정보인데 마지막 조언을 듣고 언쳐버렸어요. TV를 사지 말라니... 응;;,중립,6,간단집밥/반찬레시피
F37MHn7fMyE,신혼부부 광파오븐,세탁기 모델명 알 수 있을까요??,중립,2,혼수가전 구매/이사준비
F37MHn7fMyE,신혼부부 광파오븐,내가 산 가전 최고 템이 린클 음식물 처리기임 ...제대로 쓸 줄 몰라서 그런거에요,긍정,1,음식물처리기/주방냄새
F37MHn7fMyE,신혼부부 광파오븐,"린클 처음 와디즈 펀딩할때부터 사서 5년 넘게 쓰고있는데… 전 만족해서 엄마집, 오빠집에도 사줬거든요.
다들 만족하면서 잘쓰긴하는데 이상하게 엄마집 미생물만 항상 악취가 나면서 질퍽해지길래 (그 문제때문에 매년 미생물 새로 사고 as도 보내심)
왜그러나싶었더만
최근에 제가 이유를 알았어요.
전 5년 동안 필터 교체한 적 없을 정도로 냄새 1도 없었는데
최근에 다이어트한다고 사놓은 야채들 엄청 버릴때랑, 수박껍질 많이 버릴때
이러면 2-4주정도 냄새가 많이 나더라구요.
생각해보니 엄마집도 오래된 김치나 야채같은거 위주로 엄청 버리심…
미생물이 탄수화물을 가장 좋아하는 거 같고,
저탄고지 식단 몇년 하면서 단백질+지방만 버릴때도 상태 멀쩡했는데
섬유질이 최악인 거 같더라구요.
여행간다고 10일씩 집 비워도 미생물 죽은 적 없어요.
섬유질 같은 것만 너무 많이 나오면 따로 버리는 걸 추천합니다.",부정,6,간단집밥/반찬레시피
F37MHn7fMyE,신혼부부 광파오븐,"본가에서 저 세탁기 쓰고, 신혼집에서 지금 25년 신형 워시타워 쓰고 있는데 후회한적 1도 없음ㅎㅎ우선 세탁시간도 신형이 더 적어요 그리고 자세투는 진짜 너무너무 잘쓰고 있음. 나는  다음 세탁기도 자세투는 있는거 쓰고싶음ㅠㅠ본가에서도 보통은 캡슐세제넣는데, 빨랫감 한두개일때는 어쩔수없이 일반 액체세제 써야했음. 본인이 평소에 세제나 섬유유연제에 관심많고, 넣는 양도 잘 지킬수 있고 그런 꼼꼼한 사람이면 전자가 확실히 나은 선택일듯. 근데 저같이 집안일에 무심한 성격이면 무조건 자세투 쓰세요ㅋㅋ세상 편하고 세제값도 덜나감ㅋㅋ",부정,3,신혼살림/소형가전취향
F37MHn7fMyE,신혼부부 광파오븐,"컨버터블 냉장냉동김냉사서 잘사용중이에요~
4도어도사용해봤는데 오히려 정리안하니
더지저분해지고 키가작다보니 안쪽은 사용이안되서 크게의미가없는거같아요~ 각자라이프스타일이맞겠지만 저는  두개다써본결과  후자쪽이훨씬만족스럽습니다ㅠ",중립,3,신혼살림/소형가전취향
F37MHn7fMyE,신혼부부 광파오븐,"LG 베스트샵에서 저 항목을 다샀는데 1200도 안들었다구요 ?? 
ㅎㄷㄷ ;;;",중립,2,혼수가전 구매/이사준비
F37MHn7fMyE,신혼부부 광파오븐,"LG 베스트샵에서 저 항목을 다샀는데 1200도 안들었다구요 ?? 
ㅎㄷㄷ ;;;
LG타워, 포도어냉장고 빌트인, 뷰5 투인원 에어컨, 5벌용 기본 스타일러만 사도 1천가까이 나오던데",중립,0,신혼집 가전배치/공간고민
